HORVU0Hr1G023150	MLOC_68102
HORVU0Hr1G038250	MLOC_19253
HORVU0Hr1G038450	MLOC_47147
HORVU0Hr1G038470	MLOC_70470
HORVU0Hr1G038620	MLOC_49689
HORVU0Hr1G038650	MLOC_57219
HORVU0Hr1G038710	MLOC_42238
HORVU0Hr1G038750	MLOC_74950
HORVU0Hr1G038820	MLOC_55424
HORVU0Hr1G038960	MLOC_46067
HORVU0Hr1G038970	MLOC_74862
HORVU0Hr1G039010	MLOC_251
HORVU0Hr1G039050	MLOC_73972
HORVU0Hr1G039080	MLOC_6262
HORVU0Hr1G039090	MLOC_4981
HORVU0Hr1G039110	MLOC_75176
HORVU0Hr1G039170	MLOC_37841
HORVU0Hr1G039190	MLOC_75854
HORVU0Hr1G039200	MLOC_1419
HORVU0Hr1G039280	MLOC_44053
HORVU0Hr1G039310	MLOC_10339
HORVU0Hr1G039330	MLOC_524
HORVU0Hr1G039330	MLOC_5523
HORVU0Hr1G039530	MLOC_3985
HORVU0Hr1G039660	MLOC_57426
HORVU0Hr1G039760	MLOC_44297
HORVU0Hr1G039840	MLOC_55699
HORVU0Hr1G039890	MLOC_910
HORVU0Hr1G039910	MLOC_3533
HORVU0Hr1G039920	MLOC_3949
HORVU0Hr1G039970	MLOC_7869
HORVU0Hr1G040130	MLOC_29006
HORVU0Hr1G040170	MLOC_34687
HORVU0Hr1G040190	MLOC_37566
HORVU0Hr1G040210	MLOC_40299
HORVU0Hr1G040240	MLOC_47606
HORVU0Hr1G040290	MLOC_52805
HORVU0Hr1G040310	MLOC_53511
HORVU0Hr1G040330	MLOC_53728
HORVU0Hr1G040340	MLOC_53798
HORVU0Hr1G040350	MLOC_53799
HORVU0Hr1G040400	MLOC_56952
HORVU0Hr1G040430	MLOC_57147
HORVU0Hr1G040490	MLOC_64720
HORVU0Hr1G040500	MLOC_66918
HORVU0Hr1G040530	MLOC_74333
HORVU0Hr1G040540	MLOC_80212
HORVU1Hr1G000020	MLOC_55538
HORVU1Hr1G000040	MLOC_67805
HORVU1Hr1G000060	MLOC_69504
HORVU1Hr1G000080	MLOC_71339
HORVU1Hr1G000140	MLOC_37257
HORVU1Hr1G000160	MLOC_75811
HORVU1Hr1G000210	MLOC_18184
HORVU1Hr1G000230	MLOC_78967
HORVU1Hr1G000290	MLOC_65169
HORVU1Hr1G000320	MLOC_72380
HORVU1Hr1G000370	MLOC_10384
HORVU1Hr1G000430	MLOC_57430
HORVU1Hr1G000600	MLOC_79508
HORVU1Hr1G000660	MLOC_60692
HORVU1Hr1G000700	MLOC_64273
HORVU1Hr1G000710	MLOC_44278
HORVU1Hr1G000830	MLOC_3117
HORVU1Hr1G000860	MLOC_66596
HORVU1Hr1G000960	MLOC_57153
HORVU1Hr1G001400	MLOC_923
HORVU1Hr1G001460	MLOC_37717
HORVU1Hr1G001480	MLOC_67701
HORVU1Hr1G001560	MLOC_10413
HORVU1Hr1G001660	MLOC_63347
HORVU1Hr1G001670	MLOC_19727
HORVU1Hr1G001690	MLOC_57592
HORVU1Hr1G001710	MLOC_11917
HORVU1Hr1G001760	MLOC_14454
HORVU1Hr1G001770	MLOC_79018
HORVU1Hr1G001850	MLOC_66081
HORVU1Hr1G001910	MLOC_61636
HORVU1Hr1G001960	MLOC_44678
HORVU1Hr1G002000	MLOC_14626
HORVU1Hr1G002090	MLOC_58866
HORVU1Hr1G002220	MLOC_69033
HORVU1Hr1G002240	MLOC_69034
HORVU1Hr1G002300	MLOC_37184
HORVU1Hr1G002340	MLOC_38624
HORVU1Hr1G002410	MLOC_73481
HORVU1Hr1G002430	MLOC_37211
HORVU1Hr1G002440	MLOC_19284
HORVU1Hr1G002460	MLOC_21385
HORVU1Hr1G002500	MLOC_44602
HORVU1Hr1G002510	MLOC_74537
HORVU1Hr1G002600	MLOC_77310
HORVU1Hr1G002640	MLOC_77310
HORVU1Hr1G002710	MLOC_34633
HORVU1Hr1G002740	MLOC_63006
HORVU1Hr1G002750	MLOC_54688
HORVU1Hr1G002820	MLOC_54383
HORVU1Hr1G002840	MLOC_54382
HORVU1Hr1G002850	MLOC_17252
HORVU1Hr1G002900	MLOC_44666
HORVU1Hr1G002960	MLOC_16571
HORVU1Hr1G003100	MLOC_78227
HORVU1Hr1G003170	MLOC_54608
HORVU1Hr1G003250	MLOC_54924
HORVU1Hr1G003260	MLOC_54925
HORVU1Hr1G003280	MLOC_55502
HORVU1Hr1G003300	MLOC_51103
HORVU1Hr1G003320	MLOC_11814
HORVU1Hr1G003340	MLOC_69527
HORVU1Hr1G003540	MLOC_58706
HORVU1Hr1G003590	MLOC_66323
HORVU1Hr1G003630	MLOC_58150
HORVU1Hr1G003940	MLOC_65684
HORVU1Hr1G003960	MLOC_56627
HORVU1Hr1G003990	MLOC_21843
HORVU1Hr1G004330	MLOC_43911
HORVU1Hr1G004400	MLOC_30215
HORVU1Hr1G004430	MLOC_59047
HORVU1Hr1G004480	MLOC_68779
HORVU1Hr1G004490	MLOC_64327
HORVU1Hr1G004510	MLOC_64326
HORVU1Hr1G004660	MLOC_53429
HORVU1Hr1G004720	MLOC_34630
HORVU1Hr1G004750	MLOC_59638
HORVU1Hr1G004790	MLOC_10300
HORVU1Hr1G004800	MLOC_10525
HORVU1Hr1G004910	MLOC_10576
HORVU1Hr1G004960	MLOC_14904
HORVU1Hr1G004970	MLOC_14903
HORVU1Hr1G004980	MLOC_35025
HORVU1Hr1G005120	MLOC_60208
HORVU1Hr1G005140	MLOC_43957
HORVU1Hr1G005260	MLOC_44956
HORVU1Hr1G005290	MLOC_68710
HORVU1Hr1G005360	MLOC_59386
HORVU1Hr1G005370	MLOC_20089
HORVU1Hr1G005390	MLOC_15655
HORVU1Hr1G005470	MLOC_53251
HORVU1Hr1G005510	MLOC_17312
HORVU1Hr1G005600	MLOC_15704
HORVU1Hr1G005630	MLOC_71497
HORVU1Hr1G005680	MLOC_16945
HORVU1Hr1G005800	MLOC_65878
HORVU1Hr1G005920	MLOC_33482
HORVU1Hr1G006020	MLOC_3125
HORVU1Hr1G006770	MLOC_10033
HORVU1Hr1G006860	MLOC_61974
HORVU1Hr1G006880	MLOC_39726
HORVU1Hr1G006910	MLOC_39000
HORVU1Hr1G006920	MLOC_39001
HORVU1Hr1G006940	MLOC_9970
HORVU1Hr1G007290	MLOC_57666
HORVU1Hr1G007310	MLOC_65784
HORVU1Hr1G007320	MLOC_69897
HORVU1Hr1G007630	MLOC_53170
HORVU1Hr1G007640	MLOC_53171
HORVU1Hr1G007790	MLOC_18763
HORVU1Hr1G007810	MLOC_65245
HORVU1Hr1G007840	MLOC_150
HORVU1Hr1G007900	MLOC_16241
HORVU1Hr1G007910	MLOC_61537
HORVU1Hr1G008120	MLOC_14868
HORVU1Hr1G008250	MLOC_12443
HORVU1Hr1G008330	MLOC_38832
HORVU1Hr1G008350	MLOC_57871
HORVU1Hr1G008360	MLOC_7036
HORVU1Hr1G008370	MLOC_42163
HORVU1Hr1G008480	MLOC_72514
HORVU1Hr1G008510	MLOC_38560
HORVU1Hr1G008530	MLOC_27541
HORVU1Hr1G008620	MLOC_57526
HORVU1Hr1G008650	MLOC_62014
HORVU1Hr1G008690	MLOC_54264
HORVU1Hr1G008940	MLOC_77705
HORVU1Hr1G009140	MLOC_23830
HORVU1Hr1G009490	MLOC_45727
HORVU1Hr1G009590	MLOC_74415
HORVU1Hr1G009630	MLOC_55281
HORVU1Hr1G009880	MLOC_54740
HORVU1Hr1G009900	MLOC_55368
HORVU1Hr1G010210	MLOC_17903
HORVU1Hr1G010220	MLOC_39555
HORVU1Hr1G010230	MLOC_10766
HORVU1Hr1G010250	MLOC_60968
HORVU1Hr1G010360	MLOC_33922
HORVU1Hr1G010380	MLOC_65638
HORVU1Hr1G010390	MLOC_65639
HORVU1Hr1G010400	MLOC_21210
HORVU1Hr1G010580	MLOC_53697
HORVU1Hr1G010720	MLOC_58269
HORVU1Hr1G010780	MLOC_18223
HORVU1Hr1G010790	MLOC_63431
HORVU1Hr1G010800	MLOC_59171
HORVU1Hr1G010820	MLOC_7243
HORVU1Hr1G011380	MLOC_60788
HORVU1Hr1G011480	MLOC_14093
HORVU1Hr1G011720	MLOC_11791
HORVU1Hr1G011730	MLOC_11790
HORVU1Hr1G011800	MLOC_77763
HORVU1Hr1G011840	MLOC_80159
HORVU1Hr1G011930	MLOC_76018
HORVU1Hr1G011990	MLOC_34615
HORVU1Hr1G012060	MLOC_67967
HORVU1Hr1G012140	MLOC_74048
HORVU1Hr1G012300	MLOC_69164
HORVU1Hr1G012310	MLOC_69165
HORVU1Hr1G012460	MLOC_50119
HORVU1Hr1G012490	MLOC_33802
HORVU1Hr1G012610	MLOC_18704
HORVU1Hr1G012660	MLOC_56900
HORVU1Hr1G012680	MLOC_79642
HORVU1Hr1G012690	MLOC_44095
HORVU1Hr1G012720	MLOC_68570
HORVU1Hr1G012910	MLOC_1972
